,pred,truth
0,0.15753026,0.15105213
1,0.15852803,0.092987575
2,0.15970798,0.19781739
3,0.16098982,0.09427457
4,0.1623336,-0.0110969115
5,0.16371872,0.15319255
6,0.16513449,0.26302394
7,0.16657495,0.027314615
8,0.16803688,0.16196863
9,0.16951846,0.05507978
10,0.17101875,0.35093668
11,0.17253712,0.2792299
12,0.17407332,0.16295664
13,0.17562725,0.24196474
14,0.17719884,0.29804397
15,0.1787882,0.20772253
16,0.18039536,0.30880243
17,0.18202046,0.3918688
18,0.18366365,0.36126718
19,0.18532503,0.34632334
20,0.18700476,0.30612457
21,0.18870302,0.33152774
22,0.19041991,0.41288584
23,0.19215569,0.5730985
24,0.1939104,0.37418705
25,0.19568428,0.46507213
26,0.19747752,0.3664865
27,0.1992902,0.4171784
28,0.20112251,0.3110307
29,0.20297465,0.5463904
30,0.20484675,0.5828616
31,0.20673898,0.69192183
32,0.2086515,0.3706635
33,0.21058448,0.50911987
34,0.21253805,0.58001244
35,0.2145124,0.59816325
36,0.21650764,0.5196388
37,0.21852398,0.61986053
38,0.22056156,0.65341425
39,0.22262046,0.63102907
40,0.22470096,0.63222027
41,0.22680312,0.73713154
42,0.22892705,0.45965862
43,0.23107299,0.7903934
44,0.23324105,0.835261
45,0.23543131,0.6696888
46,0.23764402,0.74391747
47,0.23987919,0.61407465
48,0.24213701,0.68263274
49,0.24441764,0.945103
50,0.24672112,0.608079
51,0.24904767,0.89596885
52,0.2513973,0.6571579
53,0.25377014,0.83371526
54,0.2561664,0.8727359
55,0.25858608,0.78785664
56,0.2610293,0.8579466
57,0.26349616,0.88486296
58,0.2659868,0.76989466
59,0.26850122,0.85239166
60,0.27103958,0.6712223
61,0.27360186,1.0150913
62,0.27618816,0.7917523
63,0.27879858,0.78833973
64,0.28143314,0.85022736
65,0.2840919,0.8709444
66,0.28677487,0.9650593
67,0.28948215,0.83721983
68,0.29221368,0.94708794
69,0.29496956,1.0799935
70,0.2977497,0.9902517
71,0.3005542,1.0266334
72,0.30338296,1.1227582
73,0.30623603,0.8767326
74,0.30911335,1.0267962
75,0.31201488,0.99512166
76,0.31494063,1.1928159
77,0.31789052,1.149855
78,0.32086438,0.91515064
79,0.32386225,1.0081395
80,0.32688403,0.9934232
81,0.32992962,1.0745362
82,0.33299884,1.1391855
83,0.33609167,0.97303116
84,0.33920786,1.0758646
85,0.34234726,0.9916898
86,0.34550983,1.1465045
87,0.3486953,1.1070365
88,0.3519036,1.0628364
89,0.35513428,1.1636028
90,0.35838738,1.1239877
91,0.36166257,0.8943676
92,0.36495954,0.92815304
93,0.36827815,0.8569696
94,0.37161803,1.0059181
95,0.37497893,0.97051984
96,0.3783605,1.0465066
97,0.3817625,1.0241591
98,0.38518453,0.9467064
99,0.38862628,1.00845
100,0.39208725,1.1936201
101,0.3955672,1.0260116
102,0.3990657,0.849804
103,0.40258232,1.0953163
104,0.40611652,0.98226947
105,0.40966797,0.96249425
106,0.41323617,0.9350018
107,0.41682065,0.9915558
108,0.42042083,0.78403574
109,0.42403623,1.0166392
110,0.42766634,0.89407533
111,0.43131053,0.8692374
112,0.43496826,0.8443856
113,0.438639,0.8727562
114,0.44232208,0.9161531
115,0.4460169,0.92317414
116,0.4497227,0.7845504
117,0.45343906,0.8979802
118,0.4571651,0.9898663
119,0.46090025,0.910774
120,0.46464375,0.8726275
121,0.46839488,0.8313077
122,0.47215292,0.8793416
123,0.4759172,0.9045977
124,0.47968683,0.739738
125,0.48346117,0.9432359
126,0.48723933,0.68095917
127,0.4910206,0.96177995
128,0.49480405,0.700755
129,0.49858895,0.762555
130,0.5023745,0.7164042
131,0.5061598,0.87114066
132,0.509944,0.76000553
133,0.5137264,0.8943492
134,0.5175059,0.9044868
135,0.5212818,0.85915166
136,0.52505314,0.65961796
137,0.52881914,0.6307017
138,0.5325789,0.6443051
139,0.53633136,0.64294696
140,0.5400759,0.55647624
141,0.5438116,0.7319665
142,0.5475373,0.5500792
143,0.5512524,0.7125931
144,0.55495596,0.6573759
145,0.55864704,0.42972735
146,0.5623248,0.47782323
147,0.5659885,0.5890287
148,0.5696369,0.48064014
149,0.5732694,0.46935573
150,0.5768854,0.3480538
151,0.5804837,0.6532104
152,0.58406353,0.37834263
153,0.58762413,0.5337346
154,0.5911647,0.23271842
155,0.5946843,0.41386276
156,0.59818244,0.34799504
157,0.60165817,0.2143477
158,0.60511065,0.50040007
159,0.60853934,0.3981659
160,0.6119434,0.22998579
161,0.6153222,0.35179526
162,0.6186751,0.45686987
163,0.6220012,0.3424994
164,0.6253001,0.28740034
165,0.6285712,0.10143365
166,0.6318137,0.11460187
167,0.63502717,0.28440595
168,0.63821095,0.20321484
169,0.64136463,0.28361863
170,0.6444876,0.014281904
171,0.6475794,0.08123036
172,0.65063953,0.21028545
173,0.6536677,0.07794695
174,0.65666324,0.16372386
175,0.65962607,-0.06322819
176,0.6625556,0.07687184
177,0.6654514,0.15007222
178,0.6683134,-0.0013837494
179,0.6711412,0.24936895
180,0.67393464,0.0625975
181,0.6766932,-0.12632115
182,0.67941695,-0.025009325
183,0.6821054,-0.07480832
184,0.68475884,-0.15043408
185,0.6873766,-0.10214156
186,0.68995893,-0.19268131
187,0.6925055,-0.051187865
188,0.6950163,-0.1275484
189,0.69749147,-0.09205445
190,0.69993067,-0.12066995
191,0.7023341,-0.09046652
192,0.7047016,-0.13154489
193,0.70703334,-0.23175572
194,0.7093294,-0.3096112
195,0.71158963,-0.38141173
196,0.71381444,-0.29265916
197,0.71600366,-0.36474448
198,0.7181576,-0.41447496
199,0.7202763,-0.23380189
200,0.72236,-0.30632788
201,0.7244087,-0.361949
202,0.7264229,-0.33405185
203,0.72840255,-0.3023498
204,0.730348,-0.40357926
205,0.7322594,-0.35943416
206,0.73413706,-0.47407523
207,0.7359812,-0.39126855
208,0.7377923,-0.28407812
209,0.7395704,-0.5555613
210,0.74131584,-0.40531456
211,0.743029,-0.6082963
212,0.74471015,-0.5034309
213,0.7463595,-0.48229557
214,0.7479778,-0.4931854
215,0.7495649,-0.63937557
216,0.7511215,-0.6559844
217,0.7526477,-0.55145884
218,0.7541441,-0.6797707
219,0.7556109,-0.6645728
220,0.7570484,-0.7378408
221,0.75845736,-0.68694437
222,0.75983775,-0.6491632
223,0.76119024,-0.6526131
224,0.7625149,-0.7957553
225,0.7638124,-0.778677
226,0.7650832,-0.7100324
227,0.7663275,-0.9155152
228,0.76754576,-0.7449488
229,0.7687382,-0.8312919
230,0.7699055,-0.7809331
231,0.77104795,-0.670477
232,0.7721659,-0.6523584
233,0.7732598,-0.8279029
234,0.77433026,-0.9530217
235,0.7753772,-0.91848457
236,0.7764014,-0.7534341
237,0.77740306,-0.9559892
238,0.7783827,-0.87660486
239,0.7793406,-0.85882366
240,0.78027725,-0.95511496
241,0.7811931,-0.8126215
242,0.7820882,-0.95639986
243,0.7829633,-0.7634435
244,0.7838186,-0.82653886
245,0.7846544,-0.89360046
246,0.7854713,-0.73600006
247,0.7862695,-0.81383425
248,0.7870493,-1.0555615
249,0.7878112,-1.0701244
250,0.7885556,-0.94690454
251,0.7892826,-0.9066043
252,0.789993,-0.96855235
253,0.79068655,-0.8223104
254,0.791364,-0.9134896
255,0.79202557,-0.9460524
256,0.7926715,-0.9676484
257,0.7933023,-1.0252242
258,0.7939181,-0.89484936
259,0.79451936,-0.90636283
260,0.7951063,-1.0675335
261,0.7956792,-1.1495961
262,0.7962385,-0.79562575
263,0.7967844,-0.9895744
264,0.79731715,-0.8984191
265,0.7978372,-0.94657975
266,0.79834455,-0.95977926
267,0.7988397,-1.1872399
268,0.79932284,-0.9875219
269,0.7997943,-0.9452201
270,0.8002543,-0.9943901
271,0.800703,-1.0382658
272,0.80114084,-1.0397336
273,0.80156803,-0.79874843
274,0.8019847,-0.9151173
275,0.80239105,-1.0244224
276,0.8027875,-0.94134533
277,0.8031742,-1.1024665
278,0.80355126,-0.85074687
279,0.8039191,-1.0089136
280,0.80427784,-0.9442521
281,0.8046276,-1.0137577
282,0.80496883,-1.0745249
283,0.8053015,-0.9665399
284,0.80562586,-1.1466665
285,0.80594224,-1.0150051
286,0.8062506,-0.9805911
287,0.8065513,-1.0034603
288,0.8068445,-0.91764396
289,0.8071303,-0.8465393
290,0.807409,-0.94087714
291,0.80768067,-0.88075876
292,0.8079455,-0.789051
293,0.8082037,-0.82454926
294,0.8084554,-0.8469653
295,0.80870074,-0.82657075
296,0.80893993,-0.8078839
297,0.80917287,-1.016619
298,0.8094002,-0.85493505
299,0.80962163,-0.93706274
300,0.8098375,-0.86386955
301,0.81004786,-0.92588085
302,0.81025285,-0.8553538
303,0.81045276,-0.80554384
304,0.81064737,-0.9258465
305,0.8108372,-0.7735538
306,0.81102216,-0.6422127
307,0.81120247,-0.87121606
308,0.8113782,-0.72641575
309,0.8115493,-0.9032639
310,0.81171614,-0.91178125
311,0.8118786,-0.7141446
312,0.81203705,-0.8013276
313,0.81219137,-0.82479095
314,0.8123417,-0.6995646
315,0.8124882,-0.7043446
316,0.81263095,-0.65992856
317,0.81277007,-0.5518653
318,0.81290555,-0.6766648
319,0.8130377,-0.628058
320,0.8131663,-0.7208731
321,0.8132917,-0.7282362
322,0.8134138,-0.5469632
323,0.8135327,-0.57866627
324,0.81364876,-0.4731112
325,0.8137617,-0.33831653
326,0.8138717,-0.6422662
327,0.81397885,-0.38668028
328,0.81408334,-0.49062145
329,0.814185,-0.5862333
330,0.81428415,-0.53772604
331,0.81438065,-0.47789952
332,0.8144747,-0.6475427
333,0.81456643,-0.46957052
334,0.8146556,-0.5850694
335,0.81474257,-0.39402115
336,0.81482726,-0.41672236
337,0.8149098,-0.3338454
338,0.8149901,-0.41828322
339,0.81506854,-0.34375545
340,0.8151447,-0.43320927
341,0.8152191,-0.32373455
342,0.8152914,-0.5090719
343,0.8153619,-0.34697813
344,0.8154306,-0.26674828
345,0.81549746,-0.4397327
346,0.8155626,-0.17607182
347,0.815626,-0.16364516
348,0.81568784,-0.38928115
349,0.81574804,-0.12299544
350,0.8158066,0.084311694
351,0.8158637,-0.15950294
352,0.81591946,0.05836854
353,0.8159736,-0.069870785
354,0.81602633,-0.18272087
355,0.81607777,-0.12408887
356,0.8161277,-0.26308993
357,0.8161765,-0.14038046
358,0.816224,-0.14393683
359,0.81627023,0.06751271
360,0.81631535,0.06751271
361,0.8163592,0.06751271
362,0.8164019,0.06751271
363,0.81644356,0.06751271
364,0.8164841,0.06751271
365,0.81652355,0.06751271
366,0.816562,0.06751271
367,0.8165995,0.06751271
368,0.81663597,0.06751271
369,0.8166715,0.06751271
370,0.816706,0.06751271
371,0.8167398,0.06751271
372,0.8167726,0.06751271
373,0.81680447,0.06751271
374,0.81683564,0.06751271
375,0.816866,0.06751271
376,0.81689537,0.06751271
377,0.8169242,0.06751271
378,0.8169522,0.06751271
379,0.8169794,0.06751271
380,0.81700605,0.06751271
381,0.8170319,0.06751271
382,0.8170571,0.06751271
383,0.8170816,0.06751271
384,0.8171055,0.06751271
385,0.8171286,0.06751271
386,0.81715137,0.06751271
387,0.8171734,0.06751271
388,0.8171949,0.06751271
389,0.8172158,0.06751271
390,0.81723624,0.06751271
391,0.81725603,0.06751271
392,0.81727535,0.06751271
393,0.8172943,0.06751271
394,0.81731254,0.06751271
395,0.81733036,0.06751271
396,0.8173478,0.06751271
397,0.8173647,0.06751271
398,0.81738114,0.06751271
399,0.81739724,0.06751271
400,0.8174129,0.06751271
401,0.8174282,0.06751271
402,0.8174429,0.06751271
403,0.81745744,0.06751271
404,0.81747144,0.06751271
405,0.8174852,0.06751271
406,0.8174986,0.06751271
407,0.81751156,0.06751271
408,0.8175242,0.06751271
409,0.81753653,0.06751271
410,0.8175485,0.06751271
411,0.8175602,0.06751271
412,0.81757164,0.06751271
413,0.81758267,0.06751271
414,0.8175934,0.06751271
415,0.817604,0.06751271
416,0.8176143,0.06751271
417,0.8176243,0.06751271
418,0.8176339,0.06751271
419,0.81764334,0.06751271
420,0.81765264,0.06751271
421,0.8176616,0.06751271
422,0.81767035,0.06751271
423,0.81767887,0.06751271
424,0.81768715,0.06751271
425,0.81769514,0.06751271
426,0.81770307,0.06751271
427,0.8177107,0.06751271
428,0.8177181,0.06751271
429,0.8177253,0.06751271
430,0.8177324,0.06751271
431,0.81773925,0.06751271
432,0.81774604,0.06751271
433,0.81775254,0.06751271
434,0.8177589,0.06751271
435,0.81776506,0.06751271
436,0.8177711,0.06751271
437,0.817777,0.06751271
438,0.81778264,0.06751271
439,0.8177881,0.06751271
440,0.8177936,0.06751271
441,0.8177989,0.06751271
442,0.81780404,0.06751271
443,0.817809,0.06751271
444,0.8178139,0.06751271
445,0.8178186,0.06751271
446,0.8178232,0.06751271
447,0.81782764,0.06751271
448,0.81783205,0.06751271
449,0.8178364,0.06751271
